D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
71.4,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7,51.7
72,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7,51.7
71.7,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7,51.7
71.7,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,51.7
72.1,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
71.7,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
74.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
73.4,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
71.9,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
73,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
73.4,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
70.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
68.6,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6
71.8,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6,50.6
70.3,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6,50.6
70.9,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6,50.6
71,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6,50.6
71.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6,50.6
72.3,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6,50.6
74.6,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50.6
71.8,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5
73.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5
70.8,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5,51.5
69.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5,51.5
69.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5,51.5
69.8,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5,51.5
68.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5,51.5
69.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51.5
70.4,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
68.4,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
67.2,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
69.3,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
67.4,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
67.8,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
68.8,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
69.9,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
72.6,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
74.5,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5,48.5
77,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,48.5
74.8,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5
72.5,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5
72.1,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5
71,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5
70,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,48.5
71.1,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1
70.9,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1
75.9,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1,49.1
77.5,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1,49.1
75.9,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1,49.1
75,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1,49.1
75.7,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1,49.1
75.1,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,49.1
72.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
75.2,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
78,51,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
75.6,51,51,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
76,51,51,51,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
72.3,51,51,51,51,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
74.2,51,51,51,51,51,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
